Name,Description,Price,Size,SKU,Effective_Date,Notes
"Neapolitan Orbit Cream Crunch","Freeze-Dried Neapolitan Ice Cream Sandwiches",6.98,2.0oz,TCC-NOCC-200,2026-01-01,Master price list
"Orbit Cream Crunch","Freeze-Dried Vanilla Ice Cream Sandwiches",6.98,2.0oz,TCC-OCC-200,2026-01-01,Master price list
"Star-Dusted Banana Crunch","Freeze-Dried Bananas with Cinnamon Sugar",5.98,1.15oz,TCC-SDB-115,2026-01-01,Master price list
"Apple Cinnamon Comets","Freeze-Dried Apple with Cinnamon Sugar",5.98,1.15oz,TCC-ACC-115,2026-01-01,Master price list
"Aurora Berryalis","Freeze-Dried Wild Berry Skittles",4.98,2.6oz,TCC-ARB-26,2026-01-01,Master price list
"Sour Aurora Bites","Freeze-Dried Sour Skittles",4.98,2.6oz,TCC-SAB-26,2026-01-01,Master price list
"Solar Strawberries","Freeze-Dried Strawberries",6.98,0.5oz,TCC-SS-05,2026-01-01,Master price list
"Cosmic Bananas","Freeze-Dried Bananas",5.98,1.55oz,TCC-CB-155,2026-01-01,Master price list
"Aurora Bites","Freeze-Dried Skittles",4.98,2.6oz,TCC-AB-26,2026-01-01,Master price list
"Apple Zephyr Chips","Freeze-Dried Apples",5.98,1.15oz,TCC-AZC-115,2026-01-01,Master price list
