handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_e01230a5-c2a5-2969-466b-5a5d1447c39d,Product,Freeze-dried Neapolitan Ice Cream Sandwiches - Neapolitan Orbit Cream Crunch 2.0,"<p>Neapolitan Orbit Cream Crunch 🚀🍓🍫🍦</p><p>&nbsp;</p><p>Classic ice cream. Cosmic twist. ✨</p><p>&nbsp;</p><p>Our <strong>Neapolitan Orbit Cream Crunch</strong> takes the nostalgic flavor of Neapolitan ice cream sandwiches — chocolate, vanilla, and strawberry — and launches them into an <em>entirely new galaxy of snacking</em>. Freeze-dried to perfection, each bite is crunchy, airy, and melt-in-your-mouth delicious.</p><p>&nbsp;</p><p>Perfect for:</p><ul>	<li>	<p>Road trips and camping adventures 🌲🔥</p>	</li>	<li>	<p>School lunches and after-school treats 🎒</p>	</li>	<li>	<p>Late-night sweet tooth cravings 🌙</p>	</li>	<li>	<p>Anyone who loves unique, gourmet freeze-dried snacks!</p>	</li></ul><p>&nbsp;</p><p>No freezer required. No sticky mess.</p><p>&nbsp;</p><p>Just pure, space-worthy flavor that kids and adults both love.</p><p>Take your taste buds on orbit with this cosmic classic — because why settle for ordinary when you can snack among the stars? 🌌</p><p>&nbsp;</p><p>🌀 <strong>Stay curious. Stay crunchy. Stay cosmic.</strong></p><p><strong>-Torus Coffee Company</strong></p>",3dcf0c_66e344eca4df4c37ab2969d14220be3d~mv2.png;3dcf0c_2df279a2255e4a17a1f4a2fc35dd42b2~mv2.jpg;3dcf0c_4b8e5e23649e4a5986dbbc625d5b1710~mv2.png;3dcf0c_6d4463a47f7a4d359173fac2991fc9ca~mv2.png,Candy;Freeze-Dried Candy,TCC-NOCC-200,New Arrival,6.98,,true,PERCENT,0.0,10,0.16,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b63d80b6-6575-167d-76c4-f491e53f1735,Product,Freeze-Dried Vanilla Ice Cream Sandwiches - Orbit Cream Crunch,"<p><strong>Orbit Cream Crunch</strong> – Freeze-dried vanilla ice cream sandwiches launched into orbit.<br>Take your taste buds on a cosmic mission with Orbit Cream Crunch! Classic ice cream sandwiches are transformed into a crunchy, melt-in-your-mouth galactic treat. Light, sweet, and impossibly fun to snack on, each bite feels like dessert from another dimension. Perfect for stargazers, adventurers, and anyone who craves a delicious trip beyond the ordinary.</p><p>✨ <em>Out-of-this-world crunch. Zero gravity vibes. 100% sweet satisfaction.</em></p>",3dcf0c_5349d8f57bbb48b0a5c45628edcb19b9~mv2.png;3dcf0c_c328d3d9d4c24666bf00cf69babad2fc~mv2.jpg;3dcf0c_7068eb89a3fd48d9b7968f24bc56c8a1~mv2.png,Candy;Freeze-Dried Candy,TCC-OCC-200,,6.98,,true,PERCENT,0.0,11,0.125,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_01ae4a2c-53d5-a261-ed35-07eee33b955f,Product,Freeze-Dried Bananas - Star-Dusted Banana Crunch 1.15oz,"<p><strong>Star-Dusted Banana Crunch</strong> isn’t your ordinary banana snack—it’s a galaxy of flavor and texture in every bite. We start with ripe banana slices, gently freeze-dried to preserve their natural sweetness and transform them into light, crispy wonders. Then we add a delicate drizzle of cinnamon-sugar magic, giving each piece a warm, spiced glow that’s straight from the stars.</p><p>Whether you're chasing constellations or just craving something delightfully different, these crunchy banana bites offer the perfect blend of cozy and cosmic. No mess, no fuss—just clean, sweet fuel with a stellar twist. It’s like banana bread took a rocket ship to space and came back with a crunch.</p><p>Take a bite, make a wish, and let the cinnamon stardust carry you away.</p>",3dcf0c_065026d849f046e3a64c20d3b513c8a9~mv2.png;3dcf0c_70442050bbbd4c34a9b452f861292fb1~mv2.jpg;3dcf0c_c4b68cbcd30a4f5dadef30f28c7b9a0c~mv2.png,Freeze-Dried Fruit;Fruits,TCC-SDB-115,,5.98,,true,PERCENT,0.0,9,0.07,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2ff55b6f-8c4f-312e-a03d-83535b817184,Product,Freeze-Dried Apple Cinnamon Comets 1.15oz,"<p><strong>Apple Cinnamon Comets</strong> are sweet, spiced stardust in snack form—crafted from crisp green apples and gently freeze-dried to preserve their bold crunch and vibrant flavor. Each slice is lightly dusted with a celestial blend of brown sugar, cane sugar, and cinnamon, creating a warm, cozy balance of tart and sweet that feels like a cosmic hug.</p><p>Perfect for autumn dreamers, winter snackers, or anyone craving a nostalgic taste with an out-of-this-world twist, Apple Cinnamon Comets are your ticket to an orchard orbit. Whether you're exploring galaxies or just your afternoon cravings, these comet-inspired crisps are the perfect snack to keep your taste buds grounded—and your imagination soaring.</p>",3dcf0c_0b7069311acc404a9f53f3751708af60~mv2.png;3dcf0c_0e5e71895b0b4c8e999adccb42ed0802~mv2.jpg;3dcf0c_cdf459b11c814e8499711d6be4dfd8ac~mv2.png;3dcf0c_408167aafe4c4cdfa0b99f4fd10bc7dc~mv2.png,Freeze-Dried Fruit;Fruits,TCC-ACC-115,,5.98,,true,PERCENT,0.0,6,0.1625,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5669f701-0a66-605d-fe6d-7c9f793d1c70,Product,Freeze-Dried Candy - Aurora Berryalis 2.6oz,"<p>Blast off into bold berry bliss with <strong>Aurora Berryalis</strong>—a freeze-dried wild berry explosion that’s light, crunchy, and irresistibly intense. Each vibrant piece captures the colors and flavors of a dancing aurora, transformed through freeze-drying into a crackly, melt-in-your-mouth treat that defies gravity. Bursting with intergalactic energy, this cosmic candy is perfect for adventurous snackers and flavor chasers who crave a journey beyond the ordinary.</p><p>Let your taste buds travel among the stars with every bite.</p>",3dcf0c_f82ecc3fa06247f3b94b2370b6298f99~mv2.png;3dcf0c_4c98f34758734cd18dc04214ab446d1e~mv2.jpg;3dcf0c_40d0eac43816446e84e296d1f18b4d01~mv2.png;3dcf0c_355e0640f92346dea8982fa5c85a88f3~mv2.png,Candy;Freeze-Dried Candy,TCC-ARB-26,,4.98,,true,PERCENT,0.0,23,0.1625,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bc36b669-d431-97ed-5bfb-2f463533b8a9,Product,Freeze-Dried Candy - Sour Aurora Bites 2.6oz,"<p>Summoned from the stars and kissed with tart magic, Sour Aurora Bites are not your average space snack. These freeze-dried fruity bites explode with a bold sour-sweet crunch that’s both otherworldly and addictively fun. Each colorful piece packs a cosmic punch that zings your taste buds and leaves a trail of tangy delight in its wake.</p><p>Made by Torus Coffee Company, these 2.6oz bags are for flavor adventurers who crave more than just candy — they want galactic-level excitement. 🌌🍬 Brace yourself for liftoff — Sour Aurora Bites are your next sour obsession!</p>",3dcf0c_a3edc8d64ec74c8e8cf95dfce0d14755~mv2.png;3dcf0c_2e79741fbb1b4a419ed9dfce0f30e323~mv2.jpg;3dcf0c_93bb9ae867de4d00ae446bf950f6ad21~mv2.png;3dcf0c_b3357286c2674b17bda7ffb3972c5892~mv2.png,Candy;Freeze-Dried Candy,TCC-SAB-26,,4.98,,true,PERCENT,0.0,6,0.1625,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a7cfd0ec-d36c-8ef9-cdf6-14e37f8edde4,Product,Freeze-Dried Solar Strawberries 0.5oz,"<p><strong>These aren’t your average strawberries—Solar Strawberries are interstellar snacks powered by pure berry energy.</strong> Freeze-dried at peak ripeness, each crunchy bite packs a burst of sweet and tart strawberry flavor that’s light, satisfying, and totally out of this world. No added sugar, no preservatives — just real fruit with a cosmic crunch.</p><p><strong>Crafted by Torus Coffee Company</strong>, these 0.5oz bags are the perfect grab-and-go fuel for explorers of all ages. 🍓☀️ <strong>Catch a solar flare of flavor — your taste buds will thank you!</strong></p>",3dcf0c_4f092f3642624fd2b77d24087ea32c4e~mv2.png;3dcf0c_cb98b0db3ac34380919f51db6f3c0989~mv2.jpg;3dcf0c_fb235cb0ba28446880ef176def28929a~mv2.png;3dcf0c_7ff2cf7163f741aab216b433658f8e5d~mv2.png,Freeze-Dried Fruit;Fruits,TCC-SS-05,,6.98,,true,PERCENT,0.0,7,0.03125,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_14a4bbe3-edc6-f9f7-7c05-0cd5f3f92696,Product,Freeze-Dried Cosmic Bananas 1.55oz,"<p><strong>Launched from the bunch and straight into orbit, Cosmic Bananas are freeze-dried bites of sweet banana magic.</strong> Each crunchy piece delivers rich, natural banana flavor without added sugar, preservatives, or gravity. Packed with real fruit goodness, these 1.55oz bags are perfect for spacewalk snacks, lunchboxes, or guilt-free late-night munching.</p><p><strong>From the galaxy of Torus Coffee Company</strong>, Cosmic Bananas offer a fun, healthy twist on your favorite fruit. 🍌✨ <strong>Fuel your mission with flavor — grab a bag and go bananas across the cosmos!</strong></p>",3dcf0c_6512ab5e5b9e4f43b9316a73bee7d1c1~mv2.png;3dcf0c_b4924a863e9c494db6066a9e66c8d368~mv2.jpg;3dcf0c_57782b5976984e12aa6dddb19ad79fd9~mv2.png;3dcf0c_fa1aa962407f48bf9120df33d884d3e1~mv2.png;3dcf0c_db117e214eb24ed3a50e95ec965ecbbc~mv2.png,Freeze-Dried Fruit;Fruits,TCC-CB-155,,5.98,,true,PERCENT,0.0,24,0.096,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6b2d2e70-4073-4155-ba8a-5289d6f17fb3,Product,Freeze-Dried Candy - Aurora Bites 2.6oz,"<p><strong>Aurora Bites are crunchy rainbow bursts from another dimension.</strong> These freeze-dried fruity candies offer a wild pop of flavor and a satisfying crunch that launches your taste buds into orbit. Each bite delivers a vibrant kaleidoscope of cosmic sweetness — like a nebula of flavor exploding in your mouth!</p><p><strong>Handcrafted by Torus Coffee Company</strong>, Aurora Bites are the perfect treat for candy lovers looking for something bold, bright, and wildly different. 🚀 <strong>Take your snacking to stellar heights — grab a bag and blast off!</strong></p>",3dcf0c_d542f3218c32470b89801afb5f449990~mv2.png;3dcf0c_ddc31e6f933a4af8a40728873b3587e1~mv2.jpg;3dcf0c_90e875cab7804d3398efe65a6cd8cd98~mv2.png,Candy;Freeze-Dried Candy,TCC-AB-26,,4.98,,true,PERCENT,0.0,30,0.1625,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_80de41ca-87c8-ccac-1d40-840318d859d1,Product,Freeze-Dried Apple Zephyr Chips 1.15oz,"<p>Whisper-light and kissed by the wind, Apple Zephyr Chips are freeze-dried apple slices transformed by the stars. Each bite delivers a crisp crunch and sweet orchard flavor in a light, airy form that feels like a breeze from another world. With no added sugar or preservatives, these 1.15oz bags are a naturally delicious snack for all ages.<br><br>Made by Torus Coffee Company, they’re perfect for lunchboxes, road trips, or late-night stargazing. ✨ Grab a bag and taste the flavor that’s light-years ahead!</p>",3dcf0c_7a4b1cc891f746af91d5e688a0dcc3aa~mv2.png;3dcf0c_075cda11a3024e85a7549297ff25acef~mv2.jpg;3dcf0c_0f7358911a1b4286aad9a7c429ab0a4f~mv2.png,Freeze-Dried Fruit;Fruits,TCC-AZC-115,,5.98,,true,PERCENT,0.0,25,0.072,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
